station_id,coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,name,timeZone,totalDocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per
3101,-75.15955,39.94295,Point,1015 South Street,19147,8,10,11th & South,Eastern Standard Time,18,18984,0.68,39.94295,-75.15955,9502,9482,50.1%,49.9%,1.45%,1.46%,1.45%
3102,-75.18034,39.96818,Point,2601 Pennsylvania Avenue,19130,23,3,26th & Pennsylvania,Eastern Standard Time,26,14351,0.20,39.96818,-75.18034,6911,7440,48.2%,51.8%,1.06%,1.14%,1.10%
3103,-75.1794,39.97714,Point,2651 Master Street,19121,6,16,"27th & Master, Athletic Recreation Center",Eastern Standard Time,22,1366,-1.14,39.97714,-75.17940,709,657,51.9%,48.1%,0.11%,0.10%,0.10%
3104,-75.19209,39.96664,Point,712 N. 34th Street,19104,5,8,34th & Mantua,Eastern Standard Time,13,1333,-1.15,39.96664,-75.19209,798,535,59.9%,40.1%,0.12%,0.08%,0.10%
3105,-75.12996,39.96652,Point,1341 N. Delaware Avenue,19125,0,19,Penn Treaty Park,Eastern Standard Time,19,2306,-1.05,39.96652,-75.12996,1092,1214,47.4%,52.6%,0.17%,0.19%,0.18%
3106,-75.18637,39.99179,Point,2300 N. 33rd Street,19132,11,12,33rd & Dauphin,Eastern Standard Time,23,2278,-1.05,39.99179,-75.18637,1145,1133,50.3%,49.7%,0.17%,0.17%,0.17%
3107,-75.18866,39.98203,Point,1626 N. 33rd Street,19121,9,14,33rd & Reservoir,Eastern Standard Time,23,1619,-1.12,39.98203,-75.18866,842,777,52.0%,48.0%,0.13%,0.12%,0.12%
3108,-75.16551,39.95316,Point,1515 Market Street,19102,10,11,15th & Market,Eastern Standard Time,22,18338,0.61,39.95316,-75.16551,9096,9242,49.6%,50.4%,1.39%,1.42%,1.40%
3109,-75.20524,39.97486,Point,4105 Parkside Ave.,19104,1,18,Parkside & Girard,Eastern Standard Time,19,1824,-1.10,39.97486,-75.20524,933,891,51.2%,48.8%,0.14%,0.14%,0.14%
3110,-75.13641,39.96175,Point,779 Delaware Ave,19123,6,13,Del. River Trail & Penn St.,Eastern Standard Time,19,5443,-0.72,39.96175,-75.13641,2655,2788,48.8%,51.2%,0.41%,0.43%,0.42%
3111,-75.2122,39.97804,Point,4300 S. Concourse St.,19104,4,15,"Parkside & Belmont, Case Buildling",Eastern Standard Time,19,1623,-1.12,39.97804,-75.21220,898,725,55.3%,44.7%,0.14%,0.11%,0.12%
3112,-75.21825,39.95373,Point,310 S. 48th Street,19139,9,9,48th & Spruce,Eastern Standard Time,18,5790,-0.69,39.95373,-75.21825,3212,2578,55.5%,44.5%,0.49%,0.40%,0.44%
3113,-75.19562,39.97469,Point,1046 N. 34th Street,19104,0,18,Philadelphia Zoo,Eastern Standard Time,18,1599,-1.12,39.97469,-75.19562,913,686,57.1%,42.9%,0.14%,0.11%,0.12%
3114,-75.18012,39.93775,Point,22nd & Federal St.,19122,12,5,22nd & Federal,Eastern Standard Time,17,6618,-0.60,39.93775,-75.18012,3373,3245,51.0%,49.0%,0.51%,0.50%,0.51%
3115,-75.16757,39.97263,Point,1901 W. Girard St..,19130,1,22,"19th & Girard, PTTI",Eastern Standard Time,23,4588,-0.81,39.97263,-75.16757,2606,1982,56.8%,43.2%,0.40%,0.30%,0.35%
3117,-75.22399,39.97841,Point,1575 N 52nd St.,19131,5,14,ParkWest Town Center,Eastern Standard Time,19,757,-1.21,39.97841,-75.22399,399,358,52.7%,47.3%,0.06%,0.06%,0.06%
3118,-75.21323,39.95866,Point,4628 Market Street,19139,10,13,"46th Street Station, MFL",Eastern Standard Time,23,3588,-0.91,39.95866,-75.21323,1774,1814,49.4%,50.6%,0.27%,0.28%,0.27%
3119,-75.20799,39.96674,Point,4209 Lancaster Avenue,19104,11,6,42nd & Lancaster,Eastern Standard Time,17,1721,-1.11,39.96674,-75.20799,955,766,55.5%,44.5%,0.15%,0.12%,0.13%
3120,-75.18669,39.97522,Point,1210 N. 31st Street,19121,1,22,31st & Girard,Eastern Standard Time,23,5791,-0.69,39.97522,-75.18669,3064,2727,52.9%,47.1%,0.47%,0.42%,0.44%
3121,-75.17939,39.97274,Point,2601 Poplar Street,19130,7,11,26th & Poplar,Eastern Standard Time,18,7399,-0.52,39.97274,-75.17939,4154,3245,56.1%,43.9%,0.63%,0.50%,0.57%
3122,-75.1735,39.98062,Point,2328 Cecil B Moore,19121,8,8,"24th & Cecil B. Moore, Cecil B. Moore Library",Eastern Standard Time,16,1324,-1.15,39.98062,-75.17350,673,651,50.8%,49.2%,0.10%,0.10%,0.10%
3123,-75.17088,39.98004,Point,1637 N. 22nd Street,19121,0,19,22nd & Cecil B. Moore,Eastern Standard Time,19,1910,-1.09,39.98004,-75.17088,1032,878,54.0%,46.0%,0.16%,0.14%,0.15%
3124,-75.13979,39.95295,Point,190 N Christopher Columbus Blvd (approx.),19106,9,14,Race Street Pier,Eastern Standard Time,23,7899,-0.47,39.95295,-75.13979,3776,4123,47.8%,52.2%,0.58%,0.63%,0.61%
3125,-75.16735,39.94391,Point,1505 South St. ,19146,6,13,15th & South,Eastern Standard Time,19,13871,0.15,39.94391,-75.16735,7055,6816,50.9%,49.1%,1.08%,1.05%,1.06%
3129,-75.19311,39.94681,Point,East Service Drive,19104,4,15,"The Children's Hospital of Philadelphia, East Service Drive",Eastern Standard Time,19,5799,-0.69,39.94681,-75.19311,3164,2635,54.6%,45.4%,0.48%,0.41%,0.44%
total,,,,,,,,,,1305281,,,,654987,650294,50.2%,49.8%,,,,
average ,,,,,,,,,,12431,,,,,,,,,,,
std.deviation,,,,,,,,,,9672,,,,,,,,,,,
